NIF	Compra	Loja
871465627	?gua de coco: 3, Absorvente: 8, Queijo: 7	Intermarché
801457888	Hidratante: 2, Mostarda: 8, Milho: 6, Agri?o: 5, L?mina de barbear: 6, Gordura vegetal: 7, Salsinha: 10	Continente
983640618	Gelatina: 9, Tortas: 7, Frango: 1, Desodorizante: 6, Vodca: 8, Vinho: 9, P?es: 1	Intermarché
559128855	Porco: 10, Presunto: 10, Rum: 8	Intermarché
203851070	Beterraba: 3, Fermento: 4, Gordura vegetal: 4, Inseticida: 4, Bovina: 10, Pente: 8, Pilhas: 10	Intermarché
437932914	Baunilha: 3, Leite: 1, Tomate: 2, Cotonete: 5, Aparelho de barbear: 6, Detergente: 6, Frutas secas: 1, Azeitona: 10	Pingo Doce
412181057	Presunto: 6, Atum: 4, Sab?o em p?: 5	Pingo Doce
750425893	Palmito: 4, Vassoura: 5, Antiss?ptico: 9, Hidratante: 7, Porco: 9, Sal grosso: 5, Palito de dente: 2, Berinjela: 2, Bombom: 3	Intermarché
641621724	Cortador de unhas: 7, Leite: 2, Sab?o em p?: 3, Peito de peru: 5, Sumo: 1	Pingo Doce
839489843	Sardinha: 7, Molho: 8, Sopa: 8, Mi?dos: 2, Inseticida: 2, P?ra: 1	Intermarché
804189176	Ketchup: 9, Toalha de papel: 8, Detergente: 2, Salsicha: 4, Azeite: 10, Salame: 7	Pingo Doce
834845316	?gua: 10, Peixe: 7, Polvilho: 10, Margarina: 7, Cebola: 3, Agri?o: 2, Tortas: 10, Sardinha: 10	Pingo Doce
108198073	Len?o de papel: 1, Temperinho verde: 10, Palito de dente: 8, Beterraba: 4, Ricota: 7, Farinha de trigo: 9, Velas: 6, Condicionador: 4	Pingo Doce
634056116	Palmito: 9, Iogurte: 10, U?sque: 6, Ketchup: 1	Continente
953062341	Gordura vegetal: 10, ?gua t?nica: 2, Ab?bora: 3	Intermarché
831901957	Peito de peru: 7, Br?culos: 9, Frutas secas: 2, Laranja: 1, Purificador de ambientes: 7, Requeij?o: 1, P?ra: 3	Intermarché
206461443	Batata: 2, Macarr?o: 9	Continente
881017480	Vodca: 4	Pingo Doce
198943724	F?sforo: 9, Hamb?rguer: 4, Maionese: 3, Farinha de milho: 1, Agri?o: 9, Salsinha: 4	Continente
353688920	Shampoo: 10, Espinafre: 3, Leite de coco: 8	Intermarché
301731847	Pilhas: 9, Peito de peru: 7, Vassoura: 4, Shampoo: 2, Bacon: 10, Fraldas: 3, Refrigerante: 10, Talco: 5, Cogumelos: 5	Continente
127641991	Fraldas: 6, R?cula: 5, Chuchu: 7, Ma??: 5, Lava-roupas: 8	Pingo Doce
473164495	Vinho: 7, Azeite: 5, Lentilha: 2, Caldo: 10, Macarr?o: 1, Baunilha: 9, Fio-dental: 2, Leite condensado: 7	Pingo Doce
688864217	Palito de dente: 6	Continente
848141743	Laranja: 8, Algod?o: 6, Iogurte: 7, Maionese: 1, R?cula: 9, Champanhe: 8, Desinfetante: 6, Leite: 7, Pin?a: 2	Continente
230082883	Palito de dente: 1, Abacaxi: 7, Vagem: 4, Mortadela: 7, Sab?o em p?: 9	Continente
342244351	?gua: 1, Bacon: 1, F?sforo: 6, Arroz: 1, Limpa-vidro: 3, Banana: 8, Salsinha: 7, Ketchup: 5	Pingo Doce
523143277	U?sque: 3, Abacaxi: 5, Piment?o: 4, Aparelho de barbear: 10	Continente
636679486	Cerveja: 5, Frutas secas: 6, Fermento: 10, Vodca: 1	Continente
752050928	Shampoo: 2, Sal: 8, Vassoura: 2, P?ra: 6, Lentilha: 5	Intermarché
461016238	Chuchu: 4, F?sforo: 6, Cebola: 8, Sumo: 1, ?lcool: 4, Requeij?o: 6, Inseticida: 3, Tortas: 2, P?ra: 9, Bacon: 10	Continente
224092517	Biscoito: 6, Biscoitos: 6, Ketchup: 3, Atum: 9, Ma??: 6, Margarina: 5	Intermarché
873644653	Desodorizante: 7, Vodca: 1, Fraldas: 2, Pepino: 2, Farinha de milho: 8, Berinjela: 3, Manteiga: 5, Salame: 2	Intermarché
105862804	Fermento: 10, Cogumelos: 1, Leite condensado: 5, Laranja: 1, Alface: 1, Talco: 10, Velas: 10, Vagem: 1	Intermarché
903133630	Uva: 9, Ketchup: 2, Maionese: 5, P?es: 3, Vassoura: 5, Iogurte: 6, Ovos: 9	Pingo Doce
797409447	Pat?: 10, Alho: 7, Cenoura: 6, Palito de dente: 6, Shampoo: 1, Sopa: 6, Mostarda: 10, Sal: 4, Piment?o: 7	Pingo Doce
978592416	Hamb?rguer: 4, Biscoito: 9, Gel: 9, Banana: 2, Mortadela: 6, Presunto: 1, Bombom: 6	Pingo Doce
514221411	Sardinha: 8, Condicionador: 5	Continente
181980772	Chocolate granulado: 10, Feij?o: 10, Condicionador: 1, U?sque: 5, Lava-roupas: 9, Pano de limpeza: 10, Uva: 10	Pingo Doce
630475777	Lentilha: 3, Laranja: 1, Farinha de trigo: 2, Agri?o: 1, Cenoura: 1, Pente: 7, Carv?o: 8	Continente
573295270	L?mina de barbear: 1, Frutas secas: 4, Couve: 2, Hidratante: 7, Requeij?o: 3, Geleia: 10, Mostarda: 4, Cogumelos: 2, Coco ralado: 8	Continente
389826429	Arroz: 7, Batata: 1, Ovos: 8, R?cula: 9	Pingo Doce
419337236	P?es: 3, Azeitona: 6, ?gua: 4, Inseticida: 3, Purificador de ambientes: 10, Sardinha: 6, Caldo: 10, Salsinha: 9, Pin?a: 6, Br?culos: 2	Continente
684048703	Queijo ralado: 2, Carv?o: 4, Cortador de unhas: 1, Salame: 9, Chocolate: 6, Presunto: 3, Velas: 4	Continente
761231682	?gua t?nica: 3, Desinfetante: 1, Polvilho: 2, Detergente: 6, Escova de dentes: 10, Caldo: 4, Guardanapos: 2	Pingo Doce
742971593	Desodorizante: 10	Continente
169819522	Ado?ante: 2, Lixa: 10, Alho: 3, Margarina: 4, Fermento: 8, Esponja: 7, Cotonete: 1, Ab?bora: 3, Feij?o: 1, Refrigerante: 7	Pingo Doce
413889249	Vinho: 4, Repolho: 10, Cerveja: 3, Requeij?o: 10, Purificador de ambientes: 4	Pingo Doce
592560176	P?es: 4, Salgados: 4, ?lcool: 10	Continente
655666797	Cebola: 3, Saco de lixo: 6, R?cula: 7, Palmito: 4, Vassoura: 1, Sab?o em p?: 8, Mostarda: 6	Pingo Doce
837102246	Cereal: 5, Condicionador: 1, Caldo: 7, Polpa de tomate: 5	Continente
855851424	Azeitona: 3, Carv?o: 9, Espinafre: 6, Cerveja: 7, P?ra: 10, Margarina: 5, Ervilha: 1	Intermarché
476484102	Mortadela: 3, Mam?o: 4, Ricota: 5, Carv?o: 1, Pilhas: 6, Milho: 7, Mostarda: 8	Intermarché
993055251	Inseticida: 5, Mortadela: 10, Sumo: 8, Ab?bora: 7, Limpa-vidro: 3, Arroz: 3, Piment?o: 1, Sardinha: 4, Mi?dos: 6	Intermarché
635152862	Sardinha: 2, Fraldas: 4, Mam?o: 8	Continente
703304503	Margarina: 5, Aparelho de barbear: 1	Pingo Doce
924930906	Leite: 5, Frutas secas: 9, Bovina: 2	Pingo Doce
353688920	Limpa-vidro: 5, Azeitona: 10, P?ra: 6, Purificador de ambientes: 8, Preservativo: 7, Tempero: 10, Gelatina: 3	Pingo Doce
965521941	Desinfetante: 9, ?lcool: 9, Cortador de unhas: 1, Mam?o: 1, Mostarda: 1	Intermarché
254016341	Shampoo: 7, Escova de dentes: 4, Ricota: 3, Tomate: 4, Mel?o: 3, Ado?ante: 6, Vinho: 2, Lava-roupas: 8, Batata palha: 8	Continente
691750212	U?sque: 1, Frutas secas: 2, Ch?: 9, Cenoura: 10, Sal grosso: 5, Vinho: 8, Antiss?ptico: 4	Intermarché
356441973	Sardinha: 4, Cortador de unhas: 5, Ovos: 4, Vinho: 6, Hamb?rguer: 7, Desodorizante: 3, Abacaxi: 7, Cebola: 10, Biscoito: 5, Doces: 9	Intermarché
451859612	Tomate: 5, Saco de lixo: 2, Hamb?rguer: 10, Polpa de tomate: 5, Alho: 3, Hidratante: 3	Pingo Doce
537330872	Arroz: 4, Doces: 1, U?sque: 2, Mel?o: 3, Peito de peru: 9	Continente
134328689	Licor: 5, Esponja: 2, Condicionador: 10, Mam?o: 6	Continente
129655864	Beterraba: 2, Detergente: 3, Pente: 6, Sumo: 4, Len?o de papel: 7, Farinha de trigo: 4, Pepino: 3, Queijo: 9, F?sforo: 5	Intermarché
781480213	Acetona: 5, Goiaba: 3, Ma??: 8, Abacate: 6, Coco ralado: 10	Intermarché
198019998	Alho: 7, Pat?: 7, Presunto: 1, Salsinha: 2, Pano de prato: 10, Condicionador: 4	Pingo Doce
432021736	Vodca: 8, Molho: 4, Farinha de milho: 6, P?es: 7, Polvilho: 10, Creme de barbear: 4, ?gua t?nica: 7, Mam?o: 7, Caldo: 2	Intermarché
990085819	Tomate: 7, Frango: 5, Pat?: 5, Cenoura: 4, Salsinha: 8, Farinha de trigo: 10, ?gua: 4, Sopa: 9, Lava-roupas: 3, Ado?ante: 7	Pingo Doce
196313016	L?mina de barbear: 5, Mel?ncia: 1, Farinha de trigo: 4, Batata palha: 7	Continente
463354342	Br?culos: 2, Queijo ralado: 2, Shampoo: 2, Baunilha: 1, Ado?ante: 3, Desinfetante: 10, Cenoura: 3, Cortador de unhas: 1	Pingo Doce
549892992	Sardinha: 9, Fermento: 2, Vagem: 6, Vassoura: 2, ?gua de coco: 1, Leite condensado: 5	Pingo Doce
140766371	Uva: 7, Inseticida: 2, Beterraba: 9, Tortas: 1, Polpa de tomate: 3, Farinha de rosca: 6, Arroz: 5, Refrigerante: 8, Berinjela: 10	Intermarché
463354342	Batata palha: 4, Leite condensado: 6, ?gua de coco: 2, P?ra: 4, Farinha de milho: 6, Bolos: 5, Iogurte: 1, Detergente: 1, Palmito: 7	Pingo Doce
572653154	Sal grosso: 1	Pingo Doce
330481514	Cenoura: 9, Bolos: 1, Mi?dos: 10, Detergente: 2	Continente
376335469	Piment?o: 5, Alface: 5, Cenoura: 8	Pingo Doce
165711331	Pat?: 2, Bolos: 5, Preservativo: 5, Detergente: 6, Abacaxi: 7	Continente
152540935	Guardanapos: 4, Salame: 10, Tortas: 9, Polvilho: 2, Len?o de papel: 7, Sopa: 9, A??car: 4, Algod?o: 9, Amaciador: 3	Pingo Doce
143575846	Algod?o: 9, Bombom: 2, Champanhe: 10, Pat?: 3, Fermento: 6, ?gua de coco: 1, Beterraba: 10	Intermarché
664607698	Pilhas: 7, Feij?o: 2, Lustra-m?veis: 9, Caldo: 7	Intermarché
780890129	Feij?o: 1	Intermarché
873302471	Caldo: 1	Pingo Doce
839937276	Cenoura: 1	Pingo Doce
240216156	Alface: 7, Vagem: 9, Abacaxi: 4, Iogurte: 4, R?cula: 7	Continente
461804656	Lava-roupas: 3, Ma??: 8, Lingui?a: 2, Atum: 8, Br?culos: 6, Chocolate granulado: 5	Pingo Doce
646081299	Maionese: 7	Continente
441622822	Caf?: 7	Continente
362912018	Papel higi?nico: 4	Pingo Doce
671003099	Abacaxi: 9, Caf?: 6, Goiaba: 3, Desinfetante: 8, Cereal: 6, Temperinho verde: 6	Continente
517804319	Chuchu: 8, Hamb?rguer: 3, Gelatina: 2, Sopa: 9, Tempero: 3	Intermarché
562077737	Frango: 6, ?gua: 1, Saco de lixo: 4, Queijo ralado: 10, Toalha de papel: 7, Ovos: 5, Cortador de unhas: 2	Continente
751014610	Tortas: 5, Salgados: 1, Creme de leite: 7	Continente
688431900	Bacon: 6, Acetona: 9, Creme de barbear: 7, Vinho: 1, Ch?: 9, Bolos: 6	Intermarché
811836482	Farinha de milho: 8, Nata: 7, Leite: 8, Talco: 2	Pingo Doce
662421823	Chocolate granulado: 9, Alho: 7, Vassoura: 1, Rum: 10, Ado?ante: 3	Intermarché
947620898	Gordura vegetal: 3, Leite: 8, Cogumelos: 3	Continente
198019998	Frutas secas: 1, Presunto: 7, P?es: 5, Polvilho: 2, Farinha de trigo: 6, Peixe: 3, Algod?o: 8, Repolho: 1, Vagem: 9	Continente
894959867	Mi?dos: 2, Sopa: 9	Continente
326768400	Palito de dente: 7, Talco: 6, R?cula: 8, Banana: 9, Cebola: 4, Batata palha: 8	Pingo Doce
234394982	Esponja: 9, Biscoito: 7, Farinha de milho: 4, Sumo: 2, Desodorizante: 9, Chocolate: 7	Continente
129548055	Salsinha: 9, Hidratante: 7, Margarina: 3, Piment?o: 10, Sab?o em p?: 6, Leite: 2, Ricota: 5, Absorvente: 9, Farinha de milho: 4, Tortas: 1	Pingo Doce
222389547	Feij?o: 9	Pingo Doce
658678814	Leite de coco: 7, A??car: 10, Algod?o: 9, Velas: 1, Milho: 6, Desinfetante: 7, Ricota: 2, Atum: 6	Continente
963754077	Vassoura: 1, Cenoura: 9, Detergente: 8, Queijo ralado: 2	Intermarché
814577252	Espinafre: 6, Palmito: 1, Batata: 2, Chocolate granulado: 2, Limpa-vidro: 1, Milho: 6, Mortadela: 3	Intermarché
223191877	Lingui?a: 9, Banana: 3, Azeitona: 10, L?mina de barbear: 8, Pente: 10	Continente
825498905	Cebola: 5, Vassoura: 10, Chuchu: 4, Ma??: 10, Creme de barbear: 4, Desinfetante: 1, Vodca: 9, ?gua de coco: 8, Queijo: 6	Pingo Doce
832176530	?gua t?nica: 10, Pente: 2, Frango: 6, Farinha de rosca: 9, Queijo ralado: 2, Salsinha: 1, Lentilha: 3, ?lcool: 4, Biscoito: 4, Geleia: 10	Continente
904441631	Lixa: 3, Alho: 7, Queijo: 9, Leite de coco: 10	Continente
242806150	Presunto: 10, Lentilha: 5, Farinha de mandioca: 5, Lixa: 5	Intermarché
412997444	Fraldas: 6, Margarina: 6	Continente
576203160	Gel: 2	Continente
727674268	F?sforo: 7, Toalha de papel: 1, Refrigerante: 4	Continente
136636561	Frutas secas: 9, Shampoo: 6, Espinafre: 2, Atum: 10, Lustra-m?veis: 10, U?sque: 7, Biscoito: 6, Velas: 10, Salame: 5	Intermarché
369520031	Mam?o: 6, Mel?o: 6, Mi?dos: 3, Desinfetante: 10, Lustra-m?veis: 8	Pingo Doce
479888157	Cereal: 2, Arroz: 1, Doces: 5, Ab?bora: 6, Batata palha: 6	Pingo Doce
763705479	Vagem: 6, Esponja: 7, Azeite: 6, Uva: 3, L?mina de barbear: 7	Continente
737256886	Lixa: 7, Rum: 1, Palmito: 4, Escova de dentes: 3	Pingo Doce
326377645	Frutas secas: 3, Caf?: 2, Berinjela: 2	Continente
950537121	Mortadela: 10, Bacon: 10, Espinafre: 9, Aparelho de barbear: 9, Len?o de papel: 5, Toalha de papel: 3, Antiss?ptico: 7, Maionese: 7, Farinha de mandioca: 9	Pingo Doce
274838534	Milho: 4, Chocolate granulado: 1, Ovos: 6	Intermarché
503290859	Hamb?rguer: 4, Biscoito: 7	Pingo Doce
268192688	Biscoito: 5, Beterraba: 8, Vassoura: 9, Pano de limpeza: 1, Tortas: 6, Pente: 2	Continente
321338433	Agri?o: 10, Pente: 4	Intermarché
192359946	Manjeric?o: 4, Beterraba: 8	Intermarché
589299890	Ricota: 7, Vassoura: 3, Toalha de papel: 3, Pin?a: 1, Amaciador: 9, Queijo: 1, Tempero: 6, Fermento: 6, Pilhas: 1, Peito de peru: 10	Pingo Doce
820383602	Repolho: 2, Sab?o em p?: 9, U?sque: 6, Maionese: 10, Agri?o: 9, Pano de limpeza: 8, Alho: 1, Rum: 6	Intermarché
809303597	Purificador de ambientes: 9, U?sque: 3, Pin?a: 1, Palito de dente: 8, Salsicha: 6, Requeij?o: 3, Maionese: 2, Ovos: 6, Iogurte: 1	Intermarché
481773978	Papel higi?nico: 7, Carv?o: 6, Molho: 6, Toalha de papel: 6, Fio-dental: 7, ?gua: 10, Cebola: 9, Preservativo: 8, Porco: 1, ?lcool: 1	Pingo Doce
350129896	Fermento: 7	Intermarché
635152862	Algod?o: 5, Fermento: 8, Mam?o: 9, Batata: 8, Condicionador: 8	Pingo Doce
440025769	Chocolate granulado: 10, Lava-roupas: 6, Cogumelos: 7, Carv?o: 3, Margarina: 5, Pin?a: 6, Pano de limpeza: 7, Cenoura: 10	Continente
459677351	Alho: 1, Pepino: 9, Batata: 2, Mi?dos: 9, Tortas: 1	Continente
696859664	Esponja: 8, Cotonete: 8, Br?culos: 2, Acetona: 5, Pilhas: 9, Ketchup: 1, Goiaba: 10, Absorvente: 6, Requeij?o: 9, Algod?o: 1	Pingo Doce
541618211	Ma??: 3, Desodorizante: 5, ?gua: 5, Creme de barbear: 2, ?lcool: 9	Pingo Doce
465989360	Leite condensado: 1, Hamb?rguer: 3, Gel: 1, Fermento: 7, Inseticida: 4, Br?culos: 9, Cenoura: 4, Requeij?o: 5, Shampoo: 3	Pingo Doce
479888157	Creme de barbear: 6, R?cula: 7	Continente
831901957	Macarr?o: 1, Piment?o: 5, Ketchup: 6	Pingo Doce
664607698	F?sforo: 7	Pingo Doce
156677222	Pat?: 6, Abacate: 3, P?es: 5, Pin?a: 3, Lixa: 7	Intermarché
829725593	Farinha de milho: 8, Berinjela: 5, Escova de dentes: 9, Piment?o: 6, Lentilha: 7, Queijo: 1	Continente
261152576	Alho: 3, Sumo: 4, Chuchu: 8	Continente
662194814	Biscoitos: 2	Pingo Doce
798098757	Licor: 8, Batata palha: 6, Ervilha: 5, Goiaba: 3, Bombom: 6, Polpa de tomate: 7, Baunilha: 2, Ovos: 5, Repolho: 4	Intermarché
314336368	Ovos: 7, Farinha de trigo: 7	Intermarché
442341864	Polpa de tomate: 6, Farinha de trigo: 10	Continente
714774886	Sabonete: 5, Detergente: 4, Hamb?rguer: 6, Ervilha: 2, Desinfetante: 5	Continente
522909793	Piment?o: 4, Sal: 6, Cotonete: 9, Hamb?rguer: 5, Manjeric?o: 3, L?mina de barbear: 8, Bolos: 8, Sumo: 5, Absorvente: 7, Antiss?ptico: 6	Pingo Doce
430766039	Macarr?o: 2, Vodca: 3, Chuchu: 6, Rum: 6, Lustra-m?veis: 7, Baunilha: 1, Geleia: 5	Intermarché
708667082	Polpa de tomate: 1, Peito de peru: 3, Margarina: 1	Continente
582084186	Gordura vegetal: 5, Requeij?o: 5, Talco: 2, R?cula: 5, Peito de peru: 5, Ma??: 4, Pat?: 7, Creme de leite: 10	Intermarché
889635453	Farinha de rosca: 3, Presunto: 8, Lentilha: 1, Licor: 8	Continente
582649710	Cortador de unhas: 8, Champanhe: 8	Continente
491323330	Queijo: 7, Br?culos: 7, Desinfetante: 2, Fio-dental: 3, Ovos: 2	Intermarché
412181057	Manjeric?o: 7, Alface: 7, Queijo: 7, Abacate: 9, Banana: 1, Saco de lixo: 5, Toalha de papel: 7, Agri?o: 6	Intermarché
797864459	Fraldas: 5, Arroz: 3	Pingo Doce
607171442	Lava-roupas: 6, Caldo: 7, Velas: 10, Ado?ante: 10, Mam?o: 5, Polvilho: 1, Sardinha: 8	Continente
939151423	Biscoito: 6, Repolho: 5, Farinha de milho: 8, Absorvente: 5, Sal grosso: 2, Carv?o: 3	Intermarché
597906981	Sopa: 8, P?es: 4, Mostarda: 10, Ado?ante: 4, A??car: 1, Lustra-m?veis: 4, Farinha de milho: 10, Fraldas: 6, Pente: 2	Pingo Doce
363378053	Talco: 6, Creme de barbear: 7, Farinha de mandioca: 3, Molho: 4, Biscoito: 6, Uva: 2, Banana: 9, Farinha de rosca: 10, Gordura vegetal: 6	Pingo Doce
443597580	Br?culos: 9, Esponja: 2, Peito de peru: 8, Pano de limpeza: 5	Intermarché
516634904	?gua de coco: 9, Mel?ncia: 6	Intermarché
732777763	P?ra: 5, Pepino: 1, Feij?o: 2, Bacon: 9, Sardinha: 2, Condicionador: 3, Br?culos: 9, Ch?: 8, Macarr?o: 1	Continente
223701287	Rum: 2, Mel?ncia: 10, Pente: 6, Pilhas: 2, Goiaba: 4, Ervilha: 4	Pingo Doce
309512126	Sabonete: 6, Ovos: 8, Doces: 7, L?mina de barbear: 6	Continente
406680197	Polpa de tomate: 4	Intermarché
789617937	Azeitona: 6, Cenoura: 6, Molho: 7, Biscoito: 3, Banana: 5, Polvilho: 4	Intermarché
251021864	Vassoura: 9, Berinjela: 3, Amaciador: 8, Peixe: 7, Palmito: 1, Gelatina: 6, P?ra: 5, Limpa-vidro: 7, Uva: 1, Ketchup: 6	Intermarché
440942441	Biscoito: 2, Alho: 3, Banana: 8, Leite condensado: 8, Frutas secas: 6	Continente
464955450	Ovos: 1	Intermarché
339909444	Leite: 6, Vodca: 3, ?gua de coco: 9, Vassoura: 7, Cotonete: 8, P?ra: 5, Milho: 2, Fraldas: 5, Preservativo: 8, Refrigerante: 8	Pingo Doce
884111750	Banana: 6, Salgados: 10, Pente: 4, Vodca: 2, Antiss?ptico: 1, Rum: 9	Pingo Doce
757022792	Nata: 3	Pingo Doce
466296315	Lixa: 3	Pingo Doce
110505402	Vassoura: 1, Hidratante: 9, Purificador de ambientes: 2, Leite de coco: 10, Acetona: 5, Pano de limpeza: 10, Mi?dos: 4, Bombom: 5	Intermarché
814577252	Polpa de tomate: 2, Salsinha: 2, Cogumelos: 2, Inseticida: 8, Fermento: 7, Requeij?o: 10, Cebola: 9, Pano de prato: 8, Mortadela: 5	Intermarché
